"Indicator Code","Country or Area Code","Country or Area","Time Code","Year","Value","Value Footnotes"
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2001","2001","4.36481284505901",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR2000","2000","4.43923861528951",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1999","1999","4.58127852079799",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1998","1998","4.49690052017357",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1997","1997","4.67056152397829",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1996","1996","4.59386433198092",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1995","1995","4.72129804386311",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1994","1994","4.68362133734035",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1993","1993","4.69200530307702",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1992","1992","4.56684112620992",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1991","1991","4.6416234057553",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1990","1990","4.85726747003521",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1989","1989","4.61577936643697",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1988","1988","4.57363522978029",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1987","1987","4.33219393863021",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1986","1986","3.85970126151227",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1985","1985","3.79283280603553",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1984","1984","2.19373943735698",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1983","1983","1.24107537008152",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1982","1982","4.25467730239304",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1981","1981","1.52463082437276",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1980","1980","2.03429538697885",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1979","1979","5.76923731095772",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1978","1978","6.96910988823963",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1977","1977","6.63185850789627",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1976","1976","5.78043048350577",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1975","1975","10.2194995162664",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1974","1974","6.24920253441119",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1973","1973","4.85538162772906",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1972","1972","5.5655680380924",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1971","1971","6.41219210708794",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1970","1970","7.06821276140066",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1969","1969","19.5590060180074",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1968","1968","15.6719323793846",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1967","1967","9.10806103028935",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1966","1966","5.72799171297971",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1965","1965","2.52035941193234",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1964","1964","1.56709401709402",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1963","1963","1.47017501045879",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1962","1962","1.82337376356307",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1961","1961","0.860440770355396",""
"EN.ATM.CO2E.PC","ATG","Antigua and Barbuda","YR1960","1960","0.67061685045994",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2011","2011","4.72449969733611",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2010","2010","4.76491188011468",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2009","2009","4.57525128980061",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2008","2008","4.37357334728226",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2007","2007","4.1811534817636",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2006","2006","4.28559479253471",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2005","2005","4.20678891094678",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2004","2004","4.0942688415581",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2003","2003","3.79779957352362",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2002","2002","3.57992168956555",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2001","2001","3.58343294261398",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR2000","2000","3.71740279621914",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1999","1999","3.33970090248172",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1998","1998","3.36049816571551",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1997","1997","3.16802746860568",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1996","1996","3.36440226520564",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1995","1995","3.47329138079086",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1994","1994","3.73503093020673",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1993","1993","3.71532824348043",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1992","1992","3.48391715220611",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1991","1991","3.28409368014573",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1990","1990","3.20390720499559",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1989","1989","3.26832095247881",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1988","1988","3.30433871256284",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1987","1987","3.2052265285339",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1986","1986","3.29071772588335",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1985","1985","3.06695923904397",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1984","1984","2.98526952988633",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1983","1983","2.81811275768597",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1982","1982","2.72333073190486",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1981","1981","2.92941160903571",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1980","1980","3.09155162088256",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1979","1979","2.86268705644457",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1978","1978","2.76245598797314",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1977","1977","2.6502249371301",""
"EN.ATM.CO2E.PC","ARB","Arab World","YR1976","1976","2.58691023790059",""
